Step,Edge ID,Avg Speed (m/s)
1,-11,13.89
1,-15,13.89
1,-197,13.89
1,-205,13.89
1,-223,13.89
1,-23,13.89
1,-25,13.89
1,-26,13.89
1,-3,13.89
1,-30,13.89
1,-341,13.89
1,-342,13.89
1,-343,13.89
1,-345,13.89
1,-347,13.89
1,-351,13.89
1,-36,13.89
1,-361,13.89
1,-369,13.89
1,-40,13.89
1,-435,13.89
1,-543,13.89
1,-551,13.89
1,-555,13.89
1,-557,13.89
1,-559,13.89
1,-56,13.89
1,-560,13.89
1,-57,13.89
1,-574,13.89
1,-578,13.89
1,-59,13.89
1,-592,13.89
1,-61,13.89
1,-67,13.89
1,-7,13.89
1,-704,13.89
1,-714,13.89
1,-716,13.89
1,-720,13.89
1,-722,13.89
1,-726,13.89
1,-728,13.89
1,-736,13.89
1,-740,13.89
1,-760,13.89
1,-81,13.89
1,-868,13.89
1,-884,13.89
1,-885,13.89
1,-9,13.89
1,-989,13.89
1,11,13.89
1,15,13.89
1,197,6.945
1,205,13.89
1,223,13.89
1,23,13.89
1,25,13.89
1,26,13.89
1,3,13.89
1,30,13.89
1,341,13.89
1,342,13.89
1,343,13.89
1,345,13.89
1,347,13.89
1,351,13.89
1,36,13.89
1,361,13.89
1,369,13.89
1,40,13.89
1,435,13.89
1,543,13.89
1,551,13.89
1,555,13.89
1,557,13.89
1,559,13.89
1,56,13.89
1,560,13.89
1,57,13.89
1,574,13.89
1,578,13.89
1,59,13.89
1,592,13.89
1,61,13.89
1,67,13.89
1,7,13.89
1,704,13.89
1,714,13.89
1,716,13.89
1,720,13.89
1,722,13.89
1,726,13.89
1,728,13.89
1,736,13.89
1,740,13.89
1,760,13.89
1,81,13.89
1,868,13.89
1,884,13.89
1,885,13.89
1,9,13.89
1,989,13.89
1,:10_0,11.22
1,:10_1,13.89
1,:10_10,6.42
1,:10_11,13.89
1,:10_13,8.9
1,:10_14,3.65
1,:10_15,5.96
1,:10_16,13.89
1,:10_18,13.17
1,:10_19,3.65
1,:10_20,9.24
1,:10_21,3.65
1,:10_22,8.9
1,:10_23,3.65
1,:10_3,9.24
1,:10_4,3.65
1,:10_5,6.48
1,:10_6,13.89
1,:10_8,9.19
1,:10_9,3.65
1,:14_0,13.89
1,:14_10,3.65
1,:14_11,8.99
1,:14_12,3.65
1,:14_13,3.65
1,:14_14,3.65
1,:14_2,8.99
1,:14_3,3.65
1,:14_4,6.12
1,:14_5,12.65
1,:14_6,3.65
1,:14_7,10.56
1,:14_8,13.89
1,:18_0,10.54
1,:18_1,13.89
1,:18_10,13.89
1,:18_12,8.81
1,:18_13,3.65
1,:18_14,5.63
1,:18_15,13.89
1,:18_17,12.53
1,:18_18,3.65
1,:18_19,11.44
1,:18_20,3.65
1,:18_21,8.81
1,:18_22,3.65
1,:18_3,11.44
1,:18_4,3.65
1,:18_5,9.24
1,:18_6,13.89
1,:18_7,9.29
1,:18_8,3.65
1,:18_9,6.54
1,:196_0,13.89
1,:196_1,13.89
1,:196_10,9.33
1,:196_11,13.89
1,:196_13,8.88
1,:196_14,3.65
1,:196_15,5.92
1,:196_16,13.89
1,:196_18,13.89
1,:196_19,3.65
1,:196_20,8.3
1,:196_21,3.65
1,:196_22,11.42
1,:196_23,3.65
1,:196_24,8.88
1,:196_25,3.65
1,:196_26,13.89
1,:196_27,3.65
1,:196_3,8.3
1,:196_4,3.65
1,:196_5,5.53
1,:196_6,13.89
1,:196_8,11.42
1,:196_9,3.65
1,:1_0,5.98
1,:1_1,13.89
1,:1_10,8.14
1,:1_11,13.89
1,:1_13,9.86
1,:1_14,3.65
1,:1_15,7.34
1,:1_16,13.89
1,:1_18,8.91
1,:1_19,3.65
1,:1_20,9.49
1,:1_21,3.65
1,:1_22,10.52
1,:1_23,3.65
1,:1_24,9.86
1,:1_25,3.65
1,:1_26,8.91
1,:1_27,3.65
1,:1_3,9.49
1,:1_4,3.65
1,:1_5,6.84
1,:1_6,13.89
1,:1_8,10.52
1,:1_9,3.65
1,:204_0,8.07
1,:204_1,13.89
1,:204_10,3.65
1,:204_11,3.65
1,:204_12,9.29
1,:204_13,3.65
1,:204_3,3.65
1,:204_4,13.89
1,:204_6,9.29
1,:204_7,3.65
1,:204_8,6.53
1,:204_9,10.53
1,:222_0,13.89
1,:222_10,3.65
1,:222_11,10.91
1,:222_12,3.65
1,:222_13,3.65
1,:222_2,10.91
1,:222_3,3.65
1,:222_4,8.63
1,:222_5,8.9
1,:222_6,3.65
1,:222_7,5.96
1,:222_8,13.89
1,:22_0,8.72
1,:22_1,8.92
1,:22_10,3.65
1,:22_11,3.65
1,:22_12,10.99
1,:22_13,3.65
1,:22_2,3.65
1,:22_3,6.0
1,:22_4,13.89
1,:22_6,3.65
1,:22_7,13.89
1,:22_9,10.99
1,:24_0,8.684999999999999
1,:24_2,3.65
1,:24_3,5.1899999999999995
1,:24_5,3.65
1,:24_6,3.65
1,:24_7,3.65
1,:29_0,11.82
1,:29_2,3.65
1,:29_3,11.205
1,:29_5,3.65
1,:29_6,3.65
1,:29_7,3.65
1,:2_0,13.89
1,:2_2,3.65
1,:2_3,13.89
1,:2_5,3.65
1,:2_6,3.65
1,:2_7,3.65
1,:340_0,13.89
1,:340_10,3.65
1,:340_11,8.81
1,:340_12,3.65
1,:340_13,3.65
1,:340_2,8.81
1,:340_3,3.65
1,:340_4,5.62
1,:340_5,9.06
1,:340_6,3.65
1,:340_7,6.14
1,:340_8,13.47
1,:344_0,8.55
1,:344_1,13.89
1,:344_10,6.49
1,:344_11,13.89
1,:344_13,9.06
1,:344_14,3.65
1,:344_15,6.23
1,:344_16,13.89
1,:344_18,10.84
1,:344_19,3.65
1,:344_20,9.15
1,:344_21,3.65
1,:344_22,9.24
1,:344_23,3.65
1,:344_24,9.06
1,:344_25,3.65
1,:344_26,10.84
1,:344_27,3.65
1,:344_3,9.15
1,:344_4,3.65
1,:344_5,6.35
1,:344_6,13.89
1,:344_8,9.24
1,:344_9,3.65
1,:346_0,13.89
1,:346_10,3.65
1,:346_11,8.99
1,:346_12,3.65
1,:346_13,3.65
1,:346_2,8.99
1,:346_3,3.65
1,:346_4,6.12
1,:346_5,11.07
1,:346_6,3.65
1,:346_7,8.79
1,:346_8,13.89
1,:350_0,13.89
1,:350_10,3.65
1,:350_11,9.72
1,:350_12,3.65
1,:350_13,3.65
1,:350_2,9.72
1,:350_3,3.65
1,:350_4,7.18
1,:350_5,8.81
1,:350_6,3.65
1,:350_7,5.63
1,:350_8,13.89
1,:35_0,5.66
1,:35_1,13.89
1,:35_10,3.65
1,:35_11,3.65
1,:35_12,9.61
1,:35_13,3.65
1,:35_14,3.65
1,:35_3,3.65
1,:35_4,13.89
1,:35_6,9.61
1,:35_7,3.65
1,:35_8,7.02
1,:35_9,8.8
1,:360_0,13.89
1,:360_10,3.65
1,:360_11,9.52
1,:360_12,3.65
1,:360_13,3.65
1,:360_2,9.52
1,:360_3,3.65
1,:360_4,6.88
1,:360_5,8.82
1,:360_6,3.65
1,:360_7,5.58
1,:360_8,13.89
1,:368_0,3.65
1,:39_0,8.375
1,:39_2,5.145
1,:434_0,13.33
1,:434_1,13.89
1,:434_11,3.65
1,:434_12,3.65
1,:434_13,8.94
1,:434_14,3.65
1,:434_3,3.65
1,:434_4,13.89
1,:434_6,8.94
1,:434_7,3.65
1,:434_8,6.03
1,:434_9,13.89
